Issue Type,Summary,Description,Epic Link,Story Points,Priority,Labels
Story,Dead letter queue monitoring,"Set up DLQ monitoring:
- CloudWatch alarms for messages in DLQs
- Dashboard showing DLQ depth
- Runbook for DLQ processing
- Test DLQ flow with intentional failures",DATATORAG-5,1,Medium,mvp sprint-3 monitoring
Epic,Query API,"Build REST API for RAG queries with vector search",,11,High,mvp sprint-4
Story,Design API schema (FastAPI models),"Define Pydantic models in api/lambda/:
- QueryRequest (question, customer_id, top_k)
- SearchRequest (query, customer_id, top_k)
- Response models
- Error models",DATATORAG-6,1,High,mvp sprint-4 api
Story,Implement /query endpoint (vector search),"Create api/lambda/handler.py:
- POST /query endpoint
- Generate query embedding via SageMaker
- Vector search in OpenSearch (k-NN query)
- Filter by customer_id
- Format and return results",DATATORAG-6,3,High,mvp sprint-4 api
Story,Implement /search endpoint (hybrid search),"Add /search endpoint:
- Hybrid search (vector + keyword)
- OpenSearch bool query (should: [knn, multi_match])
- Tune boost weights (0.7 vector, 0.3 keyword)
- Return ranked results",DATATORAG-6,3,High,mvp sprint-4 api
Story,Implement /health endpoint,"Add /health endpoint:
- Check OpenSearch connectivity
- Check SageMaker endpoint status
- Return 200 OK with health status
- Used by ALB health checks",DATATORAG-6,1,Medium,mvp sprint-4 api
Story,Implement /docs/{doc_id} endpoint,"Add /docs/{doc_id} endpoint:
- GET specific document by ID
- Filter by customer_id (security)
- Return document with metadata
- 404 if not found",DATATORAG-6,1,Medium,mvp sprint-4 api
Story,Create API Lambda container image,"Create api/lambda/:
- Dockerfile (Python 3.11, FastAPI, Mangum)
- requirements.txt (fastapi, mangum, opensearch-py, boto3)
- Build and push to ECR
- Test container locally",DATATORAG-6,2,High,mvp sprint-4 infrastructure
Story,Deploy API Gateway + Lambda via CloudFormation,"Create 10-api-stack.yaml:
- API Gateway REST API
- Lambda function (container image from ECR)
- Lambda integration
- Stage: prod
- Deploy API",DATATORAG-6,2,High,mvp sprint-4 infrastructure
Story,Configure API key authentication,"Add authentication to API Gateway:
- API key required
- Usage plan (10000 requests/day)
- Generate API keys for testing
- CORS configuration",DATATORAG-6,1,High,mvp sprint-4 security
Story,Test all endpoints with Postman/curl,"Manual testing:
- Test /query with sample questions
- Test /search with keywords
- Test /health
- Test /docs/{doc_id}
- Test authentication (valid/invalid API keys)
- Create Postman collection",DATATORAG-6,2,Medium,mvp sprint-4 testing
Story,Add request validation and error handling,"Implement robust validation:
- Pydantic validation for requests
- HTTP status codes (400, 404, 500)
- Error messages for debugging
- Input sanitization
- Rate limiting",DATATORAG-6,2,Medium,mvp sprint-4 api
Story,Generate API documentation (OpenAPI/Swagger),"Generate API documentation:
- FastAPI auto-generates OpenAPI schema
- Serve Swagger UI at /docs
- ReDoc at /redoc
- Export OpenAPI spec to docs/api-spec.yaml",DATATORAG-6,1,Low,mvp sprint-4 documentation
Epic,Integration Testing,"End-to-end testing with real HR documents and queries",,8,High,mvp sprint-5
Story,Create test dataset (100 sample HR PDFs),"Prepare test data:
- Collect 100 representative HR documents (handbooks, policies, benefits)
- Anonymize if necessary
- Upload to test S3 bucket or FTP server
- Document test dataset structure",DATATORAG-7,2,Medium,mvp sprint-5 testing
Story,Run end-to-end ingestion test,"Integration test:
- Ingest all 100 test documents
- Monitor pipeline execution
- Track processing time per document
- Verify no errors in CloudWatch logs",DATATORAG-7,1,Medium,mvp sprint-5 testing
Story,Validate all documents indexed correctly,"Validation:
- Check OpenSearch index count (should match input)
- Spot-check document content and embeddings
- Verify metadata fields populated
- Check for duplicate documents",DATATORAG-7,1,Medium,mvp sprint-5 testing
Story,Create test query set (20 common HR questions),"Create test queries:
- 20 common HR questions (PTO policy, benefits, 401k, etc.)
- Manual relevance labels (expected answer documents)
- Document as docs/test-queries.md",DATATORAG-7,1,Medium,mvp sprint-5 testing
Story,Run query tests and measure accuracy,"Evaluation:
- Run all 20 test queries via API
- Manual evaluation of top-5 results per query
- Calculate relevance score (MRR, nDCG, or manual)
- Target: >80% relevance
- Document results",DATATORAG-7,2,Medium,mvp sprint-5 testing
Story,Performance testing (latency, throughput),"Performance tests:
- Measure query latency (p50, p95, p99)
- Target: <500ms p95
- Test with increasing load (10, 50, 100 concurrent requests)
- Identify bottlenecks",DATATORAG-7,2,Medium,mvp sprint-5 testing
Story,Load testing (1000 docs, 100 concurrent queries),"Load testing:
- Ingest 1000 documents
- Generate 100 concurrent queries
- Monitor resource utilization (CPU, memory, Lambda throttling)
- Check error rates
- Validate auto-scaling behavior",DATATORAG-7,3,Medium,mvp sprint-5 testing
Epic,Documentation & Operations,"Create comprehensive documentation and operational runbooks",,9,Medium,mvp sprint-5
Story,Write architecture documentation,"Create docs/architecture.md:
- High-level architecture diagram
- Component descriptions
- Data flow diagrams
- Technology stack
- Design decisions and tradeoffs",DATATORAG-8,2,Medium,mvp sprint-5 documentation
Story,Write deployment runbook,"Create docs/deployment.md:
- Prerequisites (AWS account, CLI, permissions)
- Step-by-step CloudFormation deployment
- Environment configuration
- Rollback procedures
- Common deployment issues",DATATORAG-8,2,Medium,mvp sprint-5 documentation
Story,Write API documentation,"Create docs/api-documentation.md:
- API endpoints and methods
- Request/response schemas
- Authentication
- Rate limits
- Code examples (Python, curl)
- Link to Swagger UI",DATATORAG-8,1,Medium,mvp sprint-5 documentation
Story,Write troubleshooting guide,"Create docs/troubleshooting.md:
- Common issues and solutions
- How to check logs (CloudWatch)
- How to check queue depths
- How to reprocess failed documents
- Performance debugging
- Emergency contacts",DATATORAG-8,2,Medium,mvp sprint-5 documentation
Story,Create CloudWatch dashboard for monitoring,"Create comprehensive dashboard:
- ETL pipeline health (ingestion rate, processing latency, error rate)
- Search performance (query latency, throughput, error rate)
- Infrastructure health (CPU, memory, disk for OpenSearch, SageMaker)
- Cost tracking (estimated daily spend)",DATATORAG-8,2,Medium,mvp sprint-5 monitoring
Story,Configure alarms for critical metrics,"Set up CloudWatch alarms:
- OpenSearch: ClusterStatus.red, low disk space
- SageMaker: high latency, errors
- Lambda: errors, throttles, duration
- SQS: queue depth, DLQ messages
- SNS topic for alarm notifications",DATATORAG-8,1,Medium,mvp sprint-5 monitoring
Story,Security audit (IAM, encryption, VPC),"Conduct security review:
- IAM roles follow least privilege
- All data encrypted at rest and in transit
- No public endpoints (VPC isolation)
- Secrets in Secrets Manager
- CloudTrail enabled
- Document findings and remediations",DATATORAG-8,2,High,mvp sprint-5 security
Story,Cost optimization review,"Review and optimize costs:
- Right-size OpenSearch and SageMaker instances
- Enable S3 Intelligent-Tiering
- Review CloudWatch log retention
- Consider reserved instances or savings plans
- Set up cost allocation tags
- Document cost optimization recommendations",DATATORAG-8,1,Medium,mvp sprint-5 cost
Story,Backup and disaster recovery plan,"Create docs/dr-plan.md:
- OpenSearch snapshot configuration (to S3)
- S3 versioning and cross-region replication
- CloudFormation stack backup
- Recovery time objective (RTO) and recovery point objective (RPO)
- Disaster recovery runbook",DATATORAG-8,1,Medium,mvp sprint-5 reliability
